🦥 Unsloth: Will patch your computer to enable 2x faster free finetuning.
2025-02-05 12:53:54.546991: E external/local_xla/xla/stream_executor/cuda/cuda_fft.cc:477] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
E0000 00:00:1738760034.868353    1341 cuda_dnn.cc:8310] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
E0000 00:00:1738760034.955203    1341 cuda_blas.cc:1418] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
2025-02-05 12:53:55.568573: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
🦥 Unsloth Zoo will now patch everything to make training faster!
==((====))==  Unsloth 2025.1.8: Fast Mistral patching. Transformers: 4.47.1.
   \\   /|    GPU: Tesla T4. Max memory: 14.741 GB. Platform: Linux.
O^O/ \_/ \    Torch: 2.5.1+cu124. CUDA: 7.5. CUDA Toolkit: 12.4. Triton: 3.1.0
\        /    Bfloat16 = FALSE. FA [Xformers = 0.0.29.post1. FA2 = False]
 "-____-"     Free Apache license: http://github.com/unslothai/unsloth
Unsloth: Fast downloading is enabled - ignore downloading bars which are red colored!
model.safetensors: 100% 2.26G/2.26G [00:14<00:00, 158MB/s]
generation_config.json: 100% 194/194 [00:00<00:00, 1.37MB/s]
tokenizer_config.json: 100% 3.34k/3.34k [00:00<00:00, 22.3MB/s]
tokenizer.model: 100% 500k/500k [00:00<00:00, 29.3MB/s]
added_tokens.json: 100% 293/293 [00:00<00:00, 2.16MB/s]
special_tokens_map.json: 100% 458/458 [00:00<00:00, 3.45MB/s]
tokenizer.json: 100% 1.84M/1.84M [00:00<00:00, 2.12MB/s]
Unsloth 2025.1.8 patched 32 layers with 32 QKV layers, 32 O layers and 32 MLP layers.
Generating train split: 1914 examples [00:00, 29327.58 examples/s]
Map: 100% 1914/1914 [00:05<00:00, 363.18 examples/s]
GPU = Tesla T4. Max memory = 14.74127197265625 GB.
2.283 GB of memory reserved.
==((====))==  Unsloth - 2x faster free finetuning | Num GPUs = 1
   \\   /|    Num examples = 1,914 | Num Epochs = 1
O^O/ \_/ \    Batch size per device = 2 | Gradient Accumulation steps = 4
\        /    Total batch size = 8 | Total steps = 239
 "-____-"     Number of trainable parameters = 29,884,416
{'loss': 8.6117, 'grad_norm': nan, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 8.4567, 'grad_norm': nan, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 8.5595, 'grad_norm': nan, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 8.7443, 'grad_norm': nan, 'learning_rate': 0.0, 'epoch': 0.02}
{'loss': 8.8369, 'grad_norm': inf, 'learning_rate': 0.0, 'epoch': 0.02}
{'loss': 8.1281, 'grad_norm': 233.47535705566406, 'learning_rate': 4e-05, 'epoch': 0.03}
{'loss': 8.545, 'grad_norm': 364.37237548828125, 'learning_rate': 8e-05, 'epoch': 0.03}
{'loss': 8.1658, 'grad_norm': nan, 'learning_rate': 8e-05, 'epoch': 0.03}
{'loss': 7.7923, 'grad_norm': nan, 'learning_rate': 8e-05, 'epoch': 0.04}
{'loss': 8.3738, 'grad_norm': 81.88335418701172, 'learning_rate': 0.00012, 'epoch': 0.04}
{'loss': 5.881, 'grad_norm': 441.129150390625, 'learning_rate': 0.00016, 'epoch': 0.05}
{'loss': 4.8293, 'grad_norm': 780.3489379882812, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 2.1933, 'grad_norm': 74.28271484375, 'learning_rate': 0.00019914529914529915, 'epoch': 0.05}
{'loss': 1.255, 'grad_norm': 133.23593139648438, 'learning_rate': 0.0001982905982905983, 'epoch': 0.06}
{'loss': 0.7679, 'grad_norm': nan, 'learning_rate': 0.0001982905982905983, 'epoch': 0.06}
{'loss': 0.6762, 'grad_norm': 22.974578857421875, 'learning_rate': 0.00019743589743589744, 'epoch': 0.07}
{'loss': 0.6054, 'grad_norm': 8.209925651550293, 'learning_rate': 0.00019658119658119659, 'epoch': 0.07}
{'loss': 0.4593, 'grad_norm': 2.7657761573791504, 'learning_rate': 0.00019572649572649573, 'epoch': 0.08}
{'loss': 0.416, 'grad_norm': 17.49789810180664, 'learning_rate': 0.00019487179487179487, 'epoch': 0.08}
{'loss': 0.3893, 'grad_norm': 12.868824005126953, 'learning_rate': 0.00019401709401709402, 'epoch': 0.08}
{'loss': 0.3524, 'grad_norm': 31.549747467041016, 'learning_rate': 0.00019316239316239316, 'epoch': 0.09}
{'loss': 0.3758, 'grad_norm': 84.8614273071289, 'learning_rate': 0.00019230769230769233, 'epoch': 0.09}
{'loss': 0.4521, 'grad_norm': 464.58001708984375, 'learning_rate': 0.00019145299145299148, 'epoch': 0.1}
