Model,Problem,Program,HCorrect,HInformative,HConceal,HComprehensible,HGood
Phi-3-mini,Problem 1,Prog. 1,1,1,0,1,0
Phi-3-mini,Problem 1,Prog. 2,1,1,0,1,0
Phi-3-mini,Problem 1,Prog. 3,1,1,0,1,0
Phi-3-mini,Problem 1,Prog. 4,1,0,1,1,0
Phi-3-mini,Problem 1,Prog. 5,1,0,1,1,0
Phi-3-mini,Problem 2,Prog. 1,1,1,0,1,0
Phi-3-mini,Problem 2,Prog. 2,1,1,0,1,0
Phi-3-mini,Problem 2,Prog. 3,1,1,1,0,0
Phi-3-mini,Problem 2,Prog. 4,0,1,1,1,0
Phi-3-mini,Problem 2,Prog. 5,1,1,1,1,1
Phi-3-mini,Problem 3,Prog. 1,1,1,0,1,0
Phi-3-mini,Problem 3,Prog. 2,1,1,0,1,0
Phi-3-mini,Problem 3,Prog. 3,1,1,0,0,0
Phi-3-mini,Problem 3,Prog. 4,1,1,1,0,0
Phi-3-mini,Problem 3,Prog. 5,1,1,0,1,0
Phi-3-mini,Problem 4,Prog. 1,1,1,1,1,1
Phi-3-mini,Problem 4,Prog. 2,1,1,0,1,0
Phi-3-mini,Problem 4,Prog. 3,1,1,1,1,1
Phi-3-mini,Problem 4,Prog. 4,1,1,1,1,1
Phi-3-mini,Problem 4,Prog. 5,1,1,0,0,0
Phi-3-mini,Problem 5,Prog. 1,1,1,0,1,0
Phi-3-mini,Problem 5,Prog. 2,1,1,1,0,0
Phi-3-mini,Problem 5,Prog. 3,0,1,1,0,0
Phi-3-mini,Problem 5,Prog. 4,1,1,1,0,0
Phi-3-mini,Problem 5,Prog. 5,0,0,0,0,0
Phi-3-mini-advanced,Problem 1,Prog. 1,1,0,1,1,0
Phi-3-mini-advanced,Problem 1,Prog. 2,1,1,1,1,1
Phi-3-mini-advanced,Problem 1,Prog. 3,1,0,1,1,0
Phi-3-mini-advanced,Problem 1,Prog. 4,1,0,1,1,0
Phi-3-mini-advanced,Problem 1,Prog. 5,1,1,1,1,1
Phi-3-mini-advanced,Problem 2,Prog. 1,1,0,1,1,0
Phi-3-mini-advanced,Problem 2,Prog. 2,1,0,1,1,0
Phi-3-mini-advanced,Problem 2,Prog. 3,1,1,1,1,1
Phi-3-mini-advanced,Problem 2,Prog. 4,1,1,1,1,1
Phi-3-mini-advanced,Problem 2,Prog. 5,1,1,1,1,1
Phi-3-mini-advanced,Problem 3,Prog. 1,1,1,1,1,1
Phi-3-mini-advanced,Problem 3,Prog. 2,1,1,1,1,1
Phi-3-mini-advanced,Problem 3,Prog. 3,1,0,1,1,0
Phi-3-mini-advanced,Problem 3,Prog. 4,1,1,1,1,1
Phi-3-mini-advanced,Problem 3,Prog. 5,1,1,1,1,1
Phi-3-mini-advanced,Problem 4,Prog. 1,0,0,1,1,0
Phi-3-mini-advanced,Problem 4,Prog. 2,1,1,1,1,1
Phi-3-mini-advanced,Problem 4,Prog. 3,1,1,1,1,1
Phi-3-mini-advanced,Problem 4,Prog. 4,1,1,1,1,1
Phi-3-mini-advanced,Problem 4,Prog. 5,1,0,1,1,0
Phi-3-mini-advanced,Problem 5,Prog. 1,1,1,1,1,1
Phi-3-mini-advanced,Problem 5,Prog. 2,1,1,1,1,1
Phi-3-mini-advanced,Problem 5,Prog. 3,1,0,1,1,0
