🦥 Unsloth: Will patch your computer to enable 2x faster free finetuning.
2025-02-05 10:53:02.519172: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2025-02-05 10:53:02.537937: E external/local_xla/xla/stream_executor/cuda/cuda_fft.cc:477] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
E0000 00:00:1738752782.560092    2610 cuda_dnn.cc:8310] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
E0000 00:00:1738752782.566741    2610 cuda_blas.cc:1418] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
2025-02-05 10:53:02.588898: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F AVX512_VNNI FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
🦥 Unsloth Zoo will now patch everything to make training faster!
==((====))==  Unsloth 2025.1.8: Fast Mistral patching. Transformers: 4.47.1.
   \\   /|    GPU: NVIDIA A100-SXM4-40GB. Max memory: 39.557 GB. Platform: Linux.
O^O/ \_/ \    Torch: 2.5.1+cu124. CUDA: 8.0. CUDA Toolkit: 12.4. Triton: 3.1.0
\        /    Bfloat16 = TRUE. FA [Xformers = 0.0.29.post1. FA2 = False]
 "-____-"     Free Apache license: http://github.com/unslothai/unsloth
Unsloth: Fast downloading is enabled - ignore downloading bars which are red colored!
model.safetensors: 100% 2.26G/2.26G [00:05<00:00, 450MB/s]
generation_config.json: 100% 194/194 [00:00<00:00, 1.60MB/s]
tokenizer_config.json: 100% 3.34k/3.34k [00:00<00:00, 29.9MB/s]
tokenizer.model: 100% 500k/500k [00:00<00:00, 9.75MB/s]
added_tokens.json: 100% 293/293 [00:00<00:00, 2.51MB/s]
special_tokens_map.json: 100% 458/458 [00:00<00:00, 4.10MB/s]
tokenizer.json: 100% 1.84M/1.84M [00:00<00:00, 18.0MB/s]
Unsloth 2025.1.8 patched 32 layers with 32 QKV layers, 32 O layers and 32 MLP layers.
Generating train split: 1914 examples [00:00, 61223.71 examples/s]
Map: 100% 1914/1914 [00:04<00:00, 448.06 examples/s]
GPU = NVIDIA A100-SXM4-40GB. Max memory = 39.55743408203125 GB.
2.283 GB of memory reserved.
==((====))==  Unsloth - 2x faster free finetuning | Num GPUs = 1
   \\   /|    Num examples = 1,914 | Num Epochs = 1
O^O/ \_/ \    Batch size per device = 2 | Gradient Accumulation steps = 4
\        /    Total batch size = 8 | Total steps = 239
 "-____-"     Number of trainable parameters = 29,884,416
{'loss': 8.678, 'grad_norm': 70.78294372558594, 'learning_rate': 4e-05, 'epoch': 0.0}
{'loss': 8.4857, 'grad_norm': 90.65782928466797, 'learning_rate': 8e-05, 'epoch': 0.01}
{'loss': 8.388, 'grad_norm': 320.2467041015625, 'learning_rate': 0.00012, 'epoch': 0.01}
{'loss': 7.4537, 'grad_norm': 241.06381225585938, 'learning_rate': 0.00016, 'epoch': 0.02}
{'loss': 5.9702, 'grad_norm': 846.1519165039062, 'learning_rate': 0.0002, 'epoch': 0.02}
{'loss': 3.6802, 'grad_norm': 60.174415588378906, 'learning_rate': 0.00019914529914529915, 'epoch': 0.03}
{'loss': 1.7804, 'grad_norm': 47.220802307128906, 'learning_rate': 0.0001982905982905983, 'epoch': 0.03}
{'loss': 0.6701, 'grad_norm': 5.942355155944824, 'learning_rate': 0.00019743589743589744, 'epoch': 0.03}
{'loss': 0.5373, 'grad_norm': 3.3391847610473633, 'learning_rate': 0.00019658119658119659, 'epoch': 0.04}
{'loss': 0.4082, 'grad_norm': 1.7049914598464966, 'learning_rate': 0.00019572649572649573, 'epoch': 0.04}
{'loss': 0.4126, 'grad_norm': 0.7948212623596191, 'learning_rate': 0.00019487179487179487, 'epoch': 0.05}
{'loss': 0.3823, 'grad_norm': 0.28917673230171204, 'learning_rate': 0.00019401709401709402, 'epoch': 0.05}
{'loss': 0.4024, 'grad_norm': 0.46922537684440613, 'learning_rate': 0.00019316239316239316, 'epoch': 0.05}
{'loss': 0.3208, 'grad_norm': 0.3986102044582367, 'learning_rate': 0.00019230769230769233, 'epoch': 0.06}
{'loss': 0.3595, 'grad_norm': 0.36811894178390503, 'learning_rate': 0.00019145299145299148, 'epoch': 0.06}
{'loss': 0.3479, 'grad_norm': 0.3086564838886261, 'learning_rate': 0.0001905982905982906, 'epoch': 0.07}
{'loss': 0.2941, 'grad_norm': 0.2392420917749405, 'learning_rate': 0.00018974358974358974, 'epoch': 0.07}
{'loss': 0.2794, 'grad_norm': 0.2554911673069, 'learning_rate': 0.00018888888888888888, 'epoch': 0.08}
{'loss': 0.266, 'grad_norm': 0.29437166452407837, 'learning_rate': 0.00018803418803418803, 'epoch': 0.08}
{'loss': 0.2372, 'grad_norm': 0.22748853266239166, 'learning_rate': 0.0001871794871794872, 'epoch': 0.08}
{'loss': 0.1768, 'grad_norm': 0.2187560349702835, 'learning_rate': 0.00018632478632478634, 'epoch': 0.09}
{'loss': 0.1786, 'grad_norm': 0.19760112464427948, 'learning_rate': 0.0001854700854700855, 'epoch': 0.09}
{'loss': 0.1735, 'grad_norm': 0.2050676941871643, 'learning_rate': 0.00018461538461538463, 'epoch': 0.1}
{'loss': 0.1533, 'grad_norm': 0.1579824984073639, 'learning_rate': 0.00018376068376068375, 'epoch': 0.1}
{'loss': 0.1301, 'grad_norm': 0.15890195965766907, 'learning_rate': 0.00018290598290598292, 'epoch': 0.1}
{'loss': 0.1273, 'grad_norm': 0.18009239435195923, 'learning_rate': 0.00018205128205128207, 'epoch': 0.11}
{'loss': 0.0974, 'grad_norm': 0.30613306164741516, 'learning_rate': 0.0001811965811965812, 'epoch': 0.11}
{'loss': 0.1065, 'grad_norm': 0.13625052571296692, 'learning_rate': 0.00018034188034188035, 'epoch': 0.12}
{'loss': 0.1066, 'grad_norm': 0.15953947603702545, 'learning_rate': 0.0001794871794871795, 'epoch': 0.12}
{'loss': 0.0991, 'grad_norm': 0.1353321373462677, 'learning_rate': 0.00017863247863247864, 'epoch': 0.13}
{'loss': 0.0946, 'grad_norm': 0.180169016122818, 'learning_rate': 0.00017777777777777779, 'epoch': 0.13}
{'loss': 0.106, 'grad_norm': 0.11680831760168076, 'learning_rate': 0.00017692307692307693, 'epoch': 0.13}
{'loss': 0.0974, 'grad_norm': 0.11923612654209137, 'learning_rate': 0.00017606837606837607, 'epoch': 0.14}
{'loss': 0.0736, 'grad_norm': 0.1676628589630127, 'learning_rate': 0.00017521367521367522, 'epoch': 0.14}
