🦥 Unsloth: Will patch your computer to enable 2x faster free finetuning.
2025-02-05 11:20:03.957252: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2025-02-05 11:20:03.975771: E external/local_xla/xla/stream_executor/cuda/cuda_fft.cc:477] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
E0000 00:00:1738754403.997699   10063 cuda_dnn.cc:8310] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
E0000 00:00:1738754404.004340   10063 cuda_blas.cc:1418] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
2025-02-05 11:20:04.026267: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F AVX512_VNNI FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
🦥 Unsloth Zoo will now patch everything to make training faster!
==((====))==  Unsloth 2025.1.8: Fast Mistral patching. Transformers: 4.47.1.
   \\   /|    GPU: NVIDIA A100-SXM4-40GB. Max memory: 39.557 GB. Platform: Linux.
O^O/ \_/ \    Torch: 2.5.1+cu124. CUDA: 8.0. CUDA Toolkit: 12.4. Triton: 3.1.0
\        /    Bfloat16 = TRUE. FA [Xformers = 0.0.29.post1. FA2 = False]
 "-____-"     Free Apache license: http://github.com/unslothai/unsloth
Unsloth: Fast downloading is enabled - ignore downloading bars which are red colored!
Unsloth 2025.1.8 patched 32 layers with 32 QKV layers, 32 O layers and 32 MLP layers.
Generating train split: 957 examples [00:00, 92060.94 examples/s]
Map: 100% 957/957 [00:01<00:00, 502.86 examples/s]
GPU = NVIDIA A100-SXM4-40GB. Max memory = 39.55743408203125 GB.
2.283 GB of memory reserved.
==((====))==  Unsloth - 2x faster free finetuning | Num GPUs = 1
   \\   /|    Num examples = 957 | Num Epochs = 1
O^O/ \_/ \    Batch size per device = 2 | Gradient Accumulation steps = 4
\        /    Total batch size = 8 | Total steps = 119
 "-____-"     Number of trainable parameters = 29,884,416
{'loss': 8.38, 'grad_norm': 343.3466491699219, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 8.1656, 'grad_norm': 165.9824676513672, 'learning_rate': 8e-05, 'epoch': 0.02}
{'loss': 7.5857, 'grad_norm': 80.64881896972656, 'learning_rate': 0.00012, 'epoch': 0.03}
{'loss': 6.7541, 'grad_norm': 189.4221649169922, 'learning_rate': 0.00016, 'epoch': 0.03}
{'loss': 5.1225, 'grad_norm': 650.7932739257812, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 2.3283, 'grad_norm': 156.0542449951172, 'learning_rate': 0.00019824561403508772, 'epoch': 0.05}
{'loss': 1.0827, 'grad_norm': 50.58921813964844, 'learning_rate': 0.00019649122807017543, 'epoch': 0.06}
{'loss': 0.7264, 'grad_norm': 4.745486259460449, 'learning_rate': 0.00019473684210526317, 'epoch': 0.07}
{'loss': 0.5669, 'grad_norm': 6.3795976638793945, 'learning_rate': 0.00019298245614035088, 'epoch': 0.08}
{'loss': 0.4997, 'grad_norm': 2.3395886421203613, 'learning_rate': 0.0001912280701754386, 'epoch': 0.08}
{'loss': 0.4163, 'grad_norm': 0.7683969140052795, 'learning_rate': 0.00018947368421052632, 'epoch': 0.09}
{'loss': 0.4225, 'grad_norm': 0.8124994039535522, 'learning_rate': 0.00018771929824561406, 'epoch': 0.1}
{'loss': 0.3749, 'grad_norm': 0.19574934244155884, 'learning_rate': 0.00018596491228070177, 'epoch': 0.11}
{'loss': 0.361, 'grad_norm': 0.18471784889698029, 'learning_rate': 0.00018421052631578948, 'epoch': 0.12}
{'loss': 0.3704, 'grad_norm': 0.19336135685443878, 'learning_rate': 0.0001824561403508772, 'epoch': 0.13}
{'loss': 0.3385, 'grad_norm': 0.195575550198555, 'learning_rate': 0.00018070175438596493, 'epoch': 0.13}
{'loss': 0.3117, 'grad_norm': 0.35863742232322693, 'learning_rate': 0.00017894736842105264, 'epoch': 0.14}
{'loss': 0.2587, 'grad_norm': 0.20985202491283417, 'learning_rate': 0.00017719298245614035, 'epoch': 0.15}
{'loss': 0.2327, 'grad_norm': 0.2186690866947174, 'learning_rate': 0.00017543859649122806, 'epoch': 0.16}
{'loss': 0.2177, 'grad_norm': 0.9966965913772583, 'learning_rate': 0.0001736842105263158, 'epoch': 0.17}
{'loss': 0.1804, 'grad_norm': 0.22274087369441986, 'learning_rate': 0.00017192982456140353, 'epoch': 0.18}
{'loss': 0.1683, 'grad_norm': 0.1328122764825821, 'learning_rate': 0.00017017543859649124, 'epoch': 0.18}
{'loss': 0.1729, 'grad_norm': 0.2880084216594696, 'learning_rate': 0.00016842105263157895, 'epoch': 0.19}
{'loss': 0.1777, 'grad_norm': 0.2771533131599426, 'learning_rate': 0.0001666666666666667, 'epoch': 0.2}
{'loss': 0.1581, 'grad_norm': 0.12730085849761963, 'learning_rate': 0.0001649122807017544, 'epoch': 0.21}
{'loss': 0.1315, 'grad_norm': 0.11757916212081909, 'learning_rate': 0.0001631578947368421, 'epoch': 0.22}
{'loss': 0.1244, 'grad_norm': 0.09787895530462265, 'learning_rate': 0.00016140350877192982, 'epoch': 0.23}
{'loss': 0.1224, 'grad_norm': 0.17699548602104187, 'learning_rate': 0.00015964912280701756, 'epoch': 0.23}
{'loss': 0.0991, 'grad_norm': 0.0975581556558609, 'learning_rate': 0.00015789473684210527, 'epoch': 0.24}
{'loss': 0.0956, 'grad_norm': 0.11622549593448639, 'learning_rate': 0.00015614035087719297, 'epoch': 0.25}
{'loss': 0.0922, 'grad_norm': 0.11603321135044098, 'learning_rate': 0.0001543859649122807, 'epoch': 0.26}
{'loss': 0.0773, 'grad_norm': 0.10043246299028397, 'learning_rate': 0.00015263157894736845, 'epoch': 0.27}
{'loss': 0.0733, 'grad_norm': 0.0989193394780159, 'learning_rate': 0.00015087719298245616, 'epoch': 0.28}
{'loss': 0.0752, 'grad_norm': 0.09006182849407196, 'learning_rate': 0.00014912280701754387, 'epoch': 0.28}
{'loss': 0.0666, 'grad_norm': 0.08578245341777802, 'learning_rate': 0.00014736842105263158, 'epoch': 0.29}
{'loss': 0.081, 'grad_norm': 0.0875321477651596, 'learning_rate': 0.00014561403508771932, 'epoch': 0.3}
{'loss': 0.0574, 'grad_norm': 0.060484860092401505, 'learning_rate': 0.00014385964912280703, 'epoch': 0.31}
{'loss': 0.0626, 'grad_norm': 0.05701019987463951, 'learning_rate': 0.00014210526315789474, 'epoch': 0.32}
{'loss': 0.055, 'grad_norm': 0.07056916505098343, 'learning_rate': 0.00014035087719298245, 'epoch': 0.33}
{'loss': 0.0609, 'grad_norm': 0.07484442740678787, 'learning_rate': 0.00013859649122807018, 'epoch': 0.33}
{'loss': 0.0567, 'grad_norm': 0.06219106912612915, 'learning_rate': 0.0001368421052631579, 'epoch': 0.34}
{'loss': 0.0545, 'grad_norm': 0.05402226373553276, 'learning_rate': 0.00013508771929824563, 'epoch': 0.35}
{'loss': 0.0771, 'grad_norm': 0.06822037696838379, 'learning_rate': 0.00013333333333333334, 'epoch': 0.36}
{'loss': 0.0604, 'grad_norm': 0.05492216348648071, 'learning_rate': 0.00013157894736842108, 'epoch': 0.37}
