🦥 Unsloth: Will patch your computer to enable 2x faster free finetuning.
2025-02-05 11:27:24.940441: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2025-02-05 11:27:24.958633: E external/local_xla/xla/stream_executor/cuda/cuda_fft.cc:477] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
E0000 00:00:1738754844.980150   12077 cuda_dnn.cc:8310] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
E0000 00:00:1738754844.986681   12077 cuda_blas.cc:1418] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
2025-02-05 11:27:25.008100: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F AVX512_VNNI FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
🦥 Unsloth Zoo will now patch everything to make training faster!
==((====))==  Unsloth 2025.1.8: Fast Mistral patching. Transformers: 4.47.1.
   \\   /|    GPU: NVIDIA A100-SXM4-40GB. Max memory: 39.557 GB. Platform: Linux.
O^O/ \_/ \    Torch: 2.5.1+cu124. CUDA: 8.0. CUDA Toolkit: 12.4. Triton: 3.1.0
\        /    Bfloat16 = TRUE. FA [Xformers = 0.0.29.post1. FA2 = False]
 "-____-"     Free Apache license: http://github.com/unslothai/unsloth
Unsloth: Fast downloading is enabled - ignore downloading bars which are red colored!
Unsloth 2025.1.8 patched 32 layers with 32 QKV layers, 32 O layers and 32 MLP layers.
GPU = NVIDIA A100-SXM4-40GB. Max memory = 39.55743408203125 GB.
2.201 GB of memory reserved.
==((====))==  Unsloth - 2x faster free finetuning | Num GPUs = 1
   \\   /|    Num examples = 957 | Num Epochs = 1
O^O/ \_/ \    Batch size per device = 2 | Gradient Accumulation steps = 4
\        /    Total batch size = 8 | Total steps = 119
 "-____-"     Number of trainable parameters = 7,471,104
{'loss': 8.5095, 'grad_norm': 21.519861221313477, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 8.1177, 'grad_norm': 14.575063705444336, 'learning_rate': 8e-05, 'epoch': 0.02}
{'loss': 7.5956, 'grad_norm': 39.72021484375, 'learning_rate': 0.00012, 'epoch': 0.03}
{'loss': 7.7707, 'grad_norm': 15.368363380432129, 'learning_rate': 0.00016, 'epoch': 0.03}
{'loss': 7.8486, 'grad_norm': 21.822389602661133, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 7.1414, 'grad_norm': 57.75234603881836, 'learning_rate': 0.00019824561403508772, 'epoch': 0.05}
{'loss': 6.0168, 'grad_norm': 58.169002532958984, 'learning_rate': 0.00019649122807017543, 'epoch': 0.06}
{'loss': 3.8875, 'grad_norm': 290.10968017578125, 'learning_rate': 0.00019473684210526317, 'epoch': 0.07}
{'loss': 2.5845, 'grad_norm': 190.11778259277344, 'learning_rate': 0.00019298245614035088, 'epoch': 0.08}
{'loss': 1.6787, 'grad_norm': 31.933805465698242, 'learning_rate': 0.0001912280701754386, 'epoch': 0.08}
{'loss': 1.2793, 'grad_norm': 25.784610748291016, 'learning_rate': 0.00018947368421052632, 'epoch': 0.09}
{'loss': 0.7682, 'grad_norm': 17.726455688476562, 'learning_rate': 0.00018771929824561406, 'epoch': 0.1}
{'loss': 0.6776, 'grad_norm': 26.039304733276367, 'learning_rate': 0.00018596491228070177, 'epoch': 0.11}
{'loss': 0.5834, 'grad_norm': 13.051664352416992, 'learning_rate': 0.00018421052631578948, 'epoch': 0.12}
{'loss': 0.5655, 'grad_norm': 3.04440975189209, 'learning_rate': 0.0001824561403508772, 'epoch': 0.13}
{'loss': 0.5168, 'grad_norm': 3.008491039276123, 'learning_rate': 0.00018070175438596493, 'epoch': 0.13}
{'loss': 0.4806, 'grad_norm': 2.892429828643799, 'learning_rate': 0.00017894736842105264, 'epoch': 0.14}
{'loss': 0.4172, 'grad_norm': 2.0736746788024902, 'learning_rate': 0.00017719298245614035, 'epoch': 0.15}
{'loss': 0.428, 'grad_norm': 2.4618754386901855, 'learning_rate': 0.00017543859649122806, 'epoch': 0.16}
{'loss': 0.4164, 'grad_norm': 46.478904724121094, 'learning_rate': 0.0001736842105263158, 'epoch': 0.17}
{'loss': 0.3829, 'grad_norm': 3.5059616565704346, 'learning_rate': 0.00017192982456140353, 'epoch': 0.18}
{'loss': 0.3948, 'grad_norm': 18.91482162475586, 'learning_rate': 0.00017017543859649124, 'epoch': 0.18}
{'loss': 0.3875, 'grad_norm': 0.4956420660018921, 'learning_rate': 0.00016842105263157895, 'epoch': 0.19}
{'loss': 0.3704, 'grad_norm': 0.2165103405714035, 'learning_rate': 0.0001666666666666667, 'epoch': 0.2}
{'loss': 0.3795, 'grad_norm': 0.30019766092300415, 'learning_rate': 0.0001649122807017544, 'epoch': 0.21}
{'loss': 0.3653, 'grad_norm': 0.33733609318733215, 'learning_rate': 0.0001631578947368421, 'epoch': 0.22}
{'loss': 0.3568, 'grad_norm': 0.2647837996482849, 'learning_rate': 0.00016140350877192982, 'epoch': 0.23}
{'loss': 0.3428, 'grad_norm': 0.21242862939834595, 'learning_rate': 0.00015964912280701756, 'epoch': 0.23}
{'loss': 0.3306, 'grad_norm': 0.20653703808784485, 'learning_rate': 0.00015789473684210527, 'epoch': 0.24}
{'loss': 0.3394, 'grad_norm': 0.35214897990226746, 'learning_rate': 0.00015614035087719297, 'epoch': 0.25}
